"zoneid","hu12_states","hu12_canopy2001_mean","hu12_nlcd2006_pct_41","hu12_nlcd2006_pct_42","hu12_nlcd2006_pct_43","hu12_nlcd2006_pct_52","hu12_nlcd2006_pct_71","hu12_tri_mean","hu12_surficialgeology_alluv_pct","hu12_surficialgeology_beach_pct","hu12_surficialgeology_colluv_pct","hu12_surficialgeology_dec_resid_pct","hu12_surficialgeology_eolian_pct","hu12_surficialgeology_gf_out_pct","hu12_surficialgeology_ice_pct","hu12_surficialgeology_lac_pct","hu12_surficialgeology_lac_clay_pct","hu12_surficialgeology_marine_pct","hu12_surficialgeology_peat_mrsh_pct","hu12_surficialgeology_saprol_pct","hu12_surficialgeology_solif_pct","hu12_surficialgeology_solut_pct","hu12_surficialgeology_till_clay_pct","hu12_surficialgeology_till_loam_pct","hu12_surficialgeology_till_oth_pct","hu12_surficialgeology_till_sand_pct","hu12_latewisconsinglaciation_glaciation"
316,"MO",51.3896,55.9573,3.4808,1.6608,1.3105,2.6585,1.1448,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,3
317,"MO",36.0206,35.3283,5.2241,1.2835,0.0986,1.9708,0.8139,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,3
318,"MO",60.4652,54.5333,11.9359,4.3792,0.2475,2.3214,1.1051,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,3
319,"MO",50.6686,48.9729,6.9262,2.2339,2.8619,2.5888,1.1184,0,0,0,0,0,0,0,0,0,0,0,0,0,99.0628,0,0,0,0,3
320,"MO",51.412,47.9374,9.9025,3.021,0.2078,1.3455,1.2424,0,0,0,0,0,0,0,0,0,0,0,0,0,97.938,0,0,0,0,3
321,"MO",62.6753,62.763,7.2443,4.2802,0.6149,2.5564,1.1264,0,0,0,0,0,0,0,0,0,0,0,0,0,99.3188,0,0,0,0,3
322,"MO",54.514,55.1089,5.3772,4.6044,0.1091,1.5607,1.1485,0,0,0,0,0,0,0,0,0,0,0,0,0,94.3881,0,0,0,0,3
323,"MO",48.22,42.8857,7.8013,5.0506,0.5029,1.1886,1.0501,0,0,0,0,0,0,0,0,0,0,0,0,0,87.2477,0,0,0,0,3
324,"MO",62.3386,56.1623,9.3114,4.4561,5.297,2.6171,1.1059,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,3
325,"MO",76.4186,75.1302,6.0756,3.8492,5.6705,1.1932,1.4243,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,3
326,"MO",52.4513,62.0464,1.3417,0.9113,0.0962,1.7829,0.9268,8.4584,0,0,54.1094,0,0,0,0,0,0,0,0,0,37.4322,0,0,0,0,3
327,"MO",42.1729,48.3207,1.7399,1.084,0.1777,1.4828,0.9115,3.1554,0,0,23.1982,0,0,0,0,0,0,0,0,0,73.6465,0,0,0,0,3
328,"MO",56.0288,58.9466,3.5298,2.9433,0.6006,1.288,1.0128,26.585,0,0,65.208,0,0,0,0,0,0,0,0,0,8.207,0,0,0,0,3
329,"MO",69.4917,73.7951,4.6619,1.7521,0.4758,1.7669,1.0942,0,0,0,53.8586,0,0,0,0,0,0,0,0,0,46.1414,0,0,0,0,3
330,"MO",74.626,78.5271,5.6865,2.0978,0.0773,1.3208,1.1422,11.19,0,0,31.8455,0,0,0,0,0,0,0,0,0,56.9645,0,0,0,0,3
331,"MO",49.8929,50.0081,8.7275,0.7991,0,1.1962,0.5948,0,0,0,27.5861,0,0,0,0,0,0,0,0,0,72.4139,0,0,0,0,3
332,"MO",70.3714,63.6488,15.7659,2.1424,0,1.0953,0.9096,7.5081,0,0,45.3297,0,0,0,0,0,0,0,0,0,47.1622,0,0,0,0,3
333,"MO",56.3811,59.1523,4.9483,2.6686,0.0207,1.19,0.8246,1.4245,0,0,8.6808,0,0,0,0,0,0,0,0,0,89.8948,0,0,0,0,3
334,"MO",69.301,70.449,8.6563,1.9512,0.0065,1.293,1.0947,19.8706,0,0,42.8521,0,0,0,0,0,0,0,0,0,37.2773,0,0,0,0,3
335,"MO",64.0097,66.5066,5.1573,2.3525,0.0287,1.6776,1.2593,23.7381,0,0,44.4917,0,0,0,0,0,0,0,0,0,31.7702,0,0,0,0,3
