"zoneid","hu12_states","hu12_nlcd2006_pct_11","hu12_nlcd2006_pct_90","hu12_nlcd2006_pct_95","hu12_baseflowindex_mean","hu12_groundwaterrecharge_mean","hu12_prism_ppt_30yr_normal_800mm2_annual_mean","hu12_prism_tmean_30yr_normal_800mm2_annual_mean","hu12_runoff_mean","hu12_lakes_lakes4ha_overlapping_area_pct","hu12_lakes_lakes4ha_isolated_overlapping_area_pct","hu12_lakes_lakes4ha_headwater_overlapping_area_pct","hu12_lakes_lakes4ha_drstream_overlapping_area_pct","hu12_lakes_lakes4ha_drlakestream_overlapping_area_pct","hu12_lakes_lakes4to10ha_overlapping_area_pct","hu12_lakes_lakes10ha_overlapping_area_pct","hu12_streamdensity_streams_density_mperha","hu12_streamdensity_headwaters_density_mperha","hu12_streamdensity_midreaches_density_mperha","hu12_streamdensity_rivers_density_mperha","hu12_wl_allwetlandsundissolved_overlapping_area_pct","hu12_wl_isolatedwetlandsundissolved_overlapping_area_pct","hu12_wl_singlewetlandsundissolved_overlapping_area_pct","hu12_wl_connectedwetlandsundissolved_overlapping_area_pct","hu12_wl_forestedwetlandsundissolved_overlapping_area_pct","hu12_wl_scrubshrubwetlandsundissolved_overlapping_area_pct","hu12_wl_openwaterwetlandsundissolved_overlapping_area_pct"
5388,"IL",0.1434,0.3208,0.0312,31.5796,86.707,979.0274,10.0608,11.0409,0,0,0,0,0,0,0,6.1056,6.1056,0,0,1.5054,0.7989,0.0441,0.6624,0.5278,0.1039,0.8736
5389,"IL",0.2779,0.5914,0.0104,35.2358,90.5,955.6929,10.0217,10.3289,0,0,0,0,0,0,0,7.6373,5.7165,1.9209,0,2.0486,0.5386,0.118,1.392,1.4517,0.0628,0.5342
5390,"IL",0.0245,0.1558,0.0111,32.0901,91.3604,985.6686,10.0812,11.4244,0,0,0,0,0,0,0,5.0344,5.0344,0,0,0.248,0.1917,0,0.0563,0.0595,0.0063,0.1822
5391,"IL",0.0079,0.0888,0,34.75,89.3824,952.0084,10.1027,10.3905,0,0,0,0,0,0,0,9.3758,7.6231,1.7526,0,1.1585,1.1194,0.0264,0.0126,0.0819,0.0446,1.032
5392,"IL",0.3564,0.0728,0.0677,32.726,88.6986,967.6925,10.0971,10.9748,0,0,0,0,0,0,0,6.7633,6.7633,0,0,0.6973,0.5966,0.0691,0.0317,0.0483,0.164,0.4851
5393,"IL",0,0.0642,0.0503,37.3448,94.931,955.5499,9.9964,10.2239,0,0,0,0,0,0,0,7.0919,7.0919,0,0,1.0189,0.4825,0.0044,0.532,0.5806,0.0389,0.3994
5394,"IL",0.1075,0.0073,0,32.4286,73.254,979.8851,10.9251,9.09,0,0,0,0,0,0,0,12.3218,10.4084,1.9134,0,0.4712,0.0815,0,0.3896,0.3733,0.0146,0.0833
5395,"IL",0.7537,0,0,34.6818,78.6364,977.0265,10.8665,9.1376,0.2516,0.1301,0,0.1216,0,0.2516,0,8.1692,8.1692,0,0,0.1478,0.0896,0.0162,0.0421,0.0591,0.0045,0.0843
5396,"IL",3.8229,0.3783,0.0253,35.1138,91.6108,958.1961,10.0574,10.5547,0.0675,0.0675,0,0,0,0.0675,0,9.167,6.904,0.0105,2.2525,1.4046,0.5061,0.2029,0.6956,0.6715,0.0458,0.685
5397,"IL",6.9147,1.5599,0.0533,39.0357,98.3571,944.3685,9.9599,10.0182,1.0578,1.0578,0,0,0,0.652,0.4058,8.5013,6.0816,0.038,2.3817,4.1524,2.5576,0.417,1.1777,1.1747,0.4736,2.5041
