"hu12_lat","hu12_long"
37.4945068,-93.0959702
37.5844688,-93.0856857
37.6235809,-93.0126572
37.630394,-92.9187927
37.6985474,-93.0020828
37.6205101,-92.7847977
37.682869,-92.8096695
37.6932297,-92.889267
37.7779884,-92.7757187
37.7509422,-92.8352051
37.8002625,-92.9385147
37.829483,-92.8460693
37.8793182,-92.8073578
37.8852081,-92.9198761
37.7836113,-93.0191422
37.8471947,-93.1302643
37.8513069,-93.0347366
37.9958496,-93.1614227
37.9507599,-93.0993042
37.9542084,-92.9977417
38.0508499,-93.0024109
38.0393257,-92.8933563
37.9493332,-92.8712845
37.9257584,-92.7606506
38.0229301,-92.7863388
38.0244637,-92.2098694
37.9924278,-92.3123093
38.0807991,-92.3688965
38.1434021,-92.4032211
38.110817,-92.2638397
38.1710167,-92.2109833
38.1993332,-92.1636124
38.2291374,-92.2643661
38.2745323,-92.6199722
38.151104,-92.5170822
38.1941071,-92.5731888
38.1864319,-92.4470673
38.2300644,-92.4875565
38.3147583,-92.4860687
38.2565079,-92.3525696
38.0995445,-92.060524
38.1585083,-92.0933685
38.1985397,-91.9752197
38.3026962,-92.0001144
38.371006,-92.0796661
38.3689423,-91.9875793
38.2975159,-92.1407166
38.3897858,-92.3280487
38.3392639,-92.3014603
38.3932114,-92.2216797
37.1685486,-92.6440506
37.1358948,-92.538559
37.2538109,-92.66185
37.2621727,-92.5738144
37.1830215,-92.4360809
37.1629524,-92.2968903
37.1290092,-92.3523865
37.2531395,-92.3514786
37.2691841,-92.4803543
37.3297005,-92.7060394
37.321064,-92.8058624
37.4313431,-92.7660522
37.4072914,-92.624855
37.4874573,-92.7310638
37.5503426,-92.7025681
37.4425621,-92.560585
37.5332298,-92.5929489
37.535675,-92.4852524
37.6177444,-92.5792694
37.6163597,-92.4331055
37.696434,-92.4997406
37.1855507,-92.2295609
37.2882843,-92.2634888
37.4065552,-92.3106842
37.4043465,-92.497139
37.3703384,-92.4137421
37.5177345,-92.377594
37.6059418,-92.3185349
37.706089,-92.3644791
37.3907051,-92.1032181
37.3544083,-92.1782455
37.4409523,-92.1925964
37.505146,-92.249649
37.572361,-92.1841888
37.700676,-92.2370071
37.7711601,-92.1815338
37.765316,-92.5280457
37.8126221,-92.3804321
37.8480415,-92.2822266
37.9081383,-92.2013397
37.9171982,-92.1218033
37.1069641,-92.075119
37.1599808,-91.9685745
36.6068459,-91.773613
36.729969,-91.8624268
36.703907,-91.7122498
36.6483994,-91.5746841
36.568058,-91.541275
36.5699463,-91.9137192
36.6100922,-91.8728333
36.989563,-91.9360657
36.9118462,-91.8758316
36.9711113,-91.8124313
36.8515053,-91.8136063
36.9220467,-91.7143173
36.7961044,-91.7642365
36.7828369,-91.6203537
36.848175,-91.60849
37.1656952,-92.0603561
37.2327347,-91.9452744
37.2795334,-91.9351959
37.211174,-92.0995789
37.2554245,-92.1461716
37.316185,-92.0637054
37.2447701,-92.0131683
37.3845253,-91.8730316
36.7452545,-91.5190811
36.9723434,-91.5060806
36.9414673,-91.5920258
36.8829536,-91.4941635
36.8464851,-91.4295654
36.7732887,-91.4199753
36.9650955,-91.4114456
36.7766609,-91.3444824
36.6556435,-91.4578781
36.9416733,-93.7658844
37.0234718,-93.6767502
37.0578117,-93.795433
37.0097427,-93.8227768
37.1272087,-93.7886887
37.1819153,-93.8706818
37.0689049,-93.8945465
37.3146019,-94.0199127
37.4183044,-94.0816345
37.530201,-94.2298355
37.426506,-94.2003403
37.4766464,-94.3795319
37.4720383,-94.2675629
37.3453407,-94.1867142
37.3996696,-94.3109512
37.273632,-94.1381302
37.22435,-94.1618652
37.2695694,-94.2940445
37.3424187,-94.3314972
37.2636795,-94.365593
37.44524,-94.5405807
37.4213066,-94.4659805
37.3449478,-94.5100021
37.3216934,-94.4560852
37.0964546,-94.0429611
37.2352448,-93.9543915
37.1911888,-94.0764542
37.1310692,-93.9975128
37.1708946,-94.2599182
37.2356529,-94.463089
37.3341866,-94.5776978
36.9994164,-94.0448837
37.0033989,-93.945488
37.0389366,-94.1945877
37.0333138,-94.2674103
37.0835724,-94.1657486
37.0762215,-94.3523178
37.1565971,-94.4234467
37.165226,-94.5400772
36.7917213,-93.9638672
36.7300415,-93.9797897
36.8687592,-93.9753113
36.9266472,-93.9224854
36.946785,-94.0731583
36.8610878,-94.0718842
36.9291687,-94.1908646
36.8432388,-94.3277588
36.9103127,-94.2785645
36.9429855,-94.3895493
37.0050774,-94.4458771
36.5783005,-94.0717468
36.6747856,-94.0350723
36.6355209,-94.0840683
36.5878181,-94.174736
36.6433182,-94.2117081
36.6223106,-94.3299561
